Row	date_modified	ID	collector_id	date_created	Complete	Part_one_complete	Location	Type_respondent	Gender	Where_municipality	Cent_per	Residence	Bergen	Local_center	Mother	Father	Dialect_mother	Dialect_father	Future_edu	Future_edu_binom	Dialect_own	Dialect_own_orig	Dialect_old_people	Dialect_old_people_orig	inf_orig	inf	fem_strong	fem_strong_orig	fem_weak	fem_weak_orig	pronoun_pl	pronoun_pl_orig	pronoun_it	pronoun_it_orig	Written_language_school_cat	Written_language_school	Main_written_language	Sports	Car_scooter_boat	Friends	Mall	Gas_station	Social_media	Gaming	Facebook	Instagram	Youtube	Twitter	Snapchat	Broad_dialect	Demonym	Called	Insulted	C1	C2	C8	C6	S2	S3	S6	S1	C9	S10	S4	C3	S5	C7	S11	C4	S12	S7	C5
80	04.02.2020 12:55	10772127535	216331141	03.06.2019 09:53	Complete	Complete	Lindås	General	Male	Seim	Peripheral	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Bergen	stril	mellomting mellom stril og bergensar	Vocational training	Vocational training and other	Stril	stril	Stril	stril	væra	væra	sola	Sola	Mix, mainly jenta and jento	Vekslar, mest jenta og jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Very important	Not at all important	Not at all important	Not at all important	Not that important	Not that important	Little or never	Little or never	A lot every day	Little or never	A lot every day	Yes	Seim	Stril	Ikkje så veldig	3	4	3	3	5	5	5	5	3	3	5	5	5	5	3	3	3	5	3
85	04.02.2020 12:54	11321166953	234901686	04.02.2020 12:41	Complete	Complete	Lindås	General	Female	Leivestad som er mellom Seim og Hundvin	Peripheral	Before school	Less than once a month	A couple of times a month	Local or neighboring municipality	Bergen	strilamål	bymål men han har tatt nokon ord frå mamma sin dialekt som han brukar når han snakkar om bondegården	General studies	General studies	Stril mixed with urban dialect	stril blanda med bymål	Stril	stril	Være	være	solen	Solen	jenten	Jenten	Mix, mainly vi	Vekslar, mest vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not that important	Very important	Somewhat important	Not that important	Not that important	Not at all important	A couple of times per week	A bit every day	Little or never	Little or never	A bit every day	About the same	Lindås, like utanfor Bergen	Bergensar	(Bergensar)	2	3	2	2	3	5	2	3	2	3	5	4	5		4	2		4	
86	04.02.2020 12:55	11321178911	234901686	04.02.2020 12:46	Complete	Complete	Lindås	General	Male	Langenes, Feste	Peripheral	My whole life	Less than once a month	Less than once a month	Hordaland except Bergen	Hordaland except Bergen	stril	stril	Vocational training	Vocational training and other	Stril	stril	Stril	stril	væra	væra	sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Very important	Not at all important	Not at all important	Not that important	Not that important	Not at all important	A lot every day	A bit every day	A couple of times per week	Little or never	A lot every day	Yes	Feste, Langenes	Stril	Ja, veldig	5	5	5	2	5	5	5	5	4	5	5	5		5	1	3	4	5	3
89	04.02.2020 12:51	10772105028	216331141	03.06.2019 09:32	Complete	Complete	Lindås	General	Female	Hilland, Alversund	Central	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Bergenser/stril	bergenser/stril	Vocational training	Vocational training and other	Mix of Bergen and Stril	blanding mellom bergensk og stril	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Very important	Very important	Not that important	Very important	Not at all important	A bit every day	A bit every day	A couple of times per week	Little or never	Practially all the time	About the same	Bergen	Bergensar	(Bergensar)	4	5	4		5	5	2	2	1	4	1	4	3		5	1		4	4
91	04.02.2020 12:56	10218235763	216729719	14.09.2018 21:22	Complete	Complete	Lindås	General	Female	Seim	Peripheral	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril, but not quite the way old people in Lindås talk	Stril, men ikkje fult slik dei gamle i lindås snakkar	Stril	Stril	Vær	Vær-	Mix, mainly solo	Vekslar, mest solo	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not that important	Very important	Not at all important	Not at all important	Very important	Not at all important	Little or never	A bit every day	A bit every day	Little or never	Practially all the time	Yes	Bergen	Stril	Nei, ikkje i det heile tatt	3	2	3	1	4		3	5	3	2	4		3	3		3	4	4	3
93	04.02.2020 12:51	11321168470		04.02.2020 13:41	Complete	Complete	Lindås	General	Female	Ikenberget (Alversund)	Central	My whole life	A couple of times a month	About once a week	Some other place in Norway	Bergen	Halling	Bergensk	TAF Helse	Vocational training and other	Talk with rolling r, but with Bergen intonation	Snakker med rulle r men med bergensk tonefall	Stril dialect	striladialekt	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mix	Have Nynorsk as main written language, but prefer to write Bokmål 	Nynorsk	Very important	Not at all important	Very important	Somewhat important	Not at all important	Not that important	Not at all important	A bit every day	A bit every day	A bit every day	A bit every day	A bit every day	No	Varierer om eg seier at eg kjem frå Bergen eller frå Lindås, like utanfor Bergen	Stril eller bergensar	Nei, ikkje i det heile tatt	4	2	4	1	2	5	1	2	1	4	2	4	4	4	4	2		2	3
94	04.02.2020 11:54	10772106930	216331141	03.06.2019 09:34	Complete	Complete	Lindås	General	Female	Seim	Peripheral	Before school	Several times a week	Several times a week	Some other place in Norway	Local or neighboring municipality	toten	bergensk	TAF	Vocational training and other	Stril mixed with Bergen	stril blandet med bergensk	Old Norse	norrønt	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Nynorsk	Very important	Not that important	Very important	Somewhat important	Not that important	Not that important	Not at all important	Little or never	A bit every day	A bit every day	A couple of times per week	A bit every day	No	Bergen	Bergensar	(Bergensar)	4	1	1	1	1	5	5	1	1	5	1	5	5	1	5	1	1	1	5
95	04.02.2020 11:57	10772121404	216331141	03.06.2019 09:48	Complete	Complete	Lindås	General	Male	Seim	Peripheral	Before school	About once a week	Several times a week	Local or neighboring municipality	Local or neighboring municipality	Stril	Bergensk	General studies	General studies	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det		My family has a very mixed dialect	Nynorsk	Somewhat important	Not that important	Not that important	Somewhat important	Not at all important	Very important	Not that important	Little or never	A bit every day	A lot every day	Little or never	A lot every day	About the same	Bergen	Bergensar	(Bergensar)	3	4	2	1	4	3	1	3	1	4	2	3	4	2	4	1	4	3	3
97	04.02.2020 11:56	11321033487	234901686	04.02.2020 11:33	Complete	Complete	Lindås	General	Male	Isdalstø	Central	2-5 years ago	Less than once a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	stril	stril	Vocational training	Vocational training and other	Stril	stril	Nynorsk Norwegian	nynorsk	Vekslar, mest væra	Mix, mainly væra	Mix	Vekslar	jenta	Jenta	Mix	Vekslar	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Not at all important	Somewhat important	Not at all important	Not at all important	Very important	Very important	Little or never	A couple of times per week	Practially all the time	Practially all the time	A bit every day	Yes	Lindås, like utanfor Bergen	Stril	Nei, ikkje i det heile tatt	2	4	2	1	4	5	1		5	4	2	4	5			1		2	3
101	04.02.2020 11:41	10772120942	216331141	03.06.2019 09:47	Complete	Complete	Lindås	General	Male	Knarvik	Central	Before school	About once a week	About once a week	Bergen	Hordaland except Bergen	Stril/Åsane	Radøy	General studies	General studies	Stril/Bergen	Stril/Bergenser	Stril	Stril	væra	væra	solen	Solen	jento	Jento	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Not that important	Very important	Not that important	Not at all important	Somewhat important	Somewhat important	Little or never	A bit every day	A bit every day	A couple of times per week	A bit every day	About the same	Bergen	Bergensar	(Bergensar)	2	4	2	1	4	4	1	3	1	5	3	3	3	2	4	3	2	1	3
