Row	date_modified	ID	collector_id	date_created	Complete	Part_one_complete	Location	Type_respondent	Gender	Where_municipality	Cent_per	Residence	Bergen	Local_center	Mother	Father	Dialect_mother	Dialect_father	Future_edu	Future_edu_binom	Dialect_own	Dialect_own_orig	Dialect_old_people	Dialect_old_people_orig	inf_orig	inf	fem_strong	fem_strong_orig	fem_weak	fem_weak_orig	pronoun_pl	pronoun_pl_orig	pronoun_it	pronoun_it_orig	Written_language_school_cat	Written_language_school	Main_written_language	Sports	Car_scooter_boat	Friends	Mall	Gas_station	Social_media	Gaming	Facebook	Instagram	Youtube	Twitter	Snapchat	Broad_dialect	Demonym	Called	Insulted	C1	C2	C8	C6	S2	S3	S6	S1	C9	S10	S4	C3	S5	C7	S11	C4	S12	S7	C5
133	04.02.2020 08:43	11321033757	234901686	04.02.2020 11:34	Complete	Complete	Lindås	General	Female	Alversund	Central	5-10 years ago	A couple of times a month	A couple of times a month	Local or neighboring municipality	Some other place in Norway	stril	haring	Vocational training	Vocational training and other	Watered down Stril	utvanna stril	A bit Stril	litt stril	Vekslar, mest være	Mix, mainly være	sola	sola	jenta	Jenta	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Not that important	Somewhat important	Somewhat important	Not that important	Somewhat important	Not at all important	A bit every day	A couple of times per week	A couple of times per week	Little or never	A lot every day	No	Lindås, like utanfor Bergen	Stril	Nei, ikkje i det heile tatt	4	4	4	2	5	5	1	5	1	5	2	4	4	3	2	1	2	3	5
139	04.02.2020 08:43	11321034112	234901686	04.02.2020 11:34	Complete	Complete	Lindås	General	Male	Knarvik	Central	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Bergen	stril	bergensk	Vocational training	Vocational training and other	Mix of Bergen and Stril	blanding mellom stril og bergensk	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not that important	Very important	Not that important	Not that important	Somewhat important	Somewhat important	A bit every day	A lot every day	A bit every day	Little or never	A lot every day	No	Lindås, like utanfor Bergen	Bergensar	(Bergensar)	4	4	2	2	5	5	2	4	2	4	2	2	4	4	4	2	2	4	2
142	04.02.2020 08:42	11321035262	234901686	04.02.2020 11:35	Complete	Complete	Lindås	General	Female	Seim	Peripheral	My whole life	A couple of times a month	Several times a week	Some other place in Norway	Some other place in Norway	Blanding av sogn og stril	blanding av sogn og stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	Vekslar, mest være	Mix, mainly være	sola	Sola	Mix, mainly jento and jenta	Vekslar, mest jento og jenta	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not that important	Very important	Not that important	Not at all important	Very important	Not at all important	A couple of times per week	A bit every day	A bit every day	Little or never	Practially all the time	Yes	Lindås, like utanfor Bergen	Stril	Nei, ikkje i det heile tatt	5	4	4		5	5	1	5	1	5	2	4	1	3	1	1	2	3	1
143	04.02.2020 08:48	11321168294	234901686	04.02.2020 12:41	Complete	Complete	Lindås	General	Male	Knarvik	Central	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Some other place in Norway	stril	østlands dialekt	General studies	General studies	I speak stew [lapskaus]. I have a mix of Eastern Norwegian Stril and Bergen	eg snakkar lapsskaus. eg har en blanding av østlansk stril og bergenser.	Stril	stril	Være	være	solen	Solen	Mix, mainly jenta, not jento	Vekslar, mest jenta, ikkje jento	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not at all important	Somewhat important	Not that important	Not at all important	Very important	Very important	Little or never	Little or never	A lot every day	Little or never	Practially all the time	No	Lindås, like utanfor Bergen	Veit ikkje	Nei, ikkje i det heile tatt	4	3	4	1	3	1	1		2	5	1	4	3	4		2		2	3
150	04.02.2020 08:48	11321166343	234901686	04.02.2020 12:41	Complete	Complete	Lindås	General	Female	Knarvik	Central	My whole life	A couple of times a month	A couple of times a month	Bergen	Local or neighboring municipality	Blanding av stril og bergensk	stril	No plans yet	No plans yet	A fine mix of Stril and Bergen	ei god blanding av stril og bergensk	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Not that important	Very important	Somewhat important	Not at all important	Somewhat important	Not at all important	A couple of times per week	A bit every day	A couple of times per week	Little or never	A lot every day	About the same	Lindås, like utanfor Bergen	Stril	Nei, bryr meg ikkje så mykje	4	4	3	3	5	3	3	3	2	4	2	4	3	3	3	2	3		3
151	04.02.2020 08:46	10772105178	216331141	03.06.2019 09:33	Complete	Complete	Lindås	General	Female	Alversund	Central	My whole life	A couple of times a month	A couple of times a month	Hordaland except Bergen	Local or neighboring municipality	bergen	stril	Vocational training	Vocational training and other	Mix of Bergen and Stril	blanding av stril å bergensk	Stril dialect	strilamål	væra	væra	sola	sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Very important	Somewhat important	Not that important	Not that important	Somewhat important	Not at all important	A bit every day	A lot every day	Little or never	Little or never	Practially all the time	About the same	Bergen	Stril	Nja, litt. 	4	3	5	4	5	5	4	5	3	5	4	5	2	4	3	2	3	5	4
157	04.02.2020 13:48	11321168997	234901686	04.02.2020 12:41	Complete	Complete	Lindås	Sample	Female	Knarvik	Central	My whole life	A couple of times a month	A couple of times a month			Bergensk (ikke pent bergensk)	Bergensk (ikke pent)	General studies	General studies	Bergen (not posh Bergen)	Bergensk (ikke pent Bergensk)			Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not that important	Very important	Somewhat important	Not at all important	Very important	Not at all important	A couple of times per week	A lot every day	A bit every day	A bit every day	Practially all the time	No	Lindås, like utanfor Bergen	Bergensar		3	4	3	1	5	4	1	1	1	2	1	4	4	4	4	1		3	4
158	04.02.2020 13:52	10772112358	216729719	03.06.2019 09:39	Complete	Complete	Lindås	Sample	Male	Knarvik	Central	My whole life	A couple of times a month	A couple of times a month			Bergensk	Stril	Vocational training	Vocational training and other	Bergen and a abit Stril	Bergensk og litt stril			Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mix	Write a mix when answering tasks in the book	Nynorsk	Very important	Not that important	Somewhat important	Not that important	Not at all important	Not that important	Somewhat important	A bit every day	A lot every day	A bit every day	A couple of times per week	Practially all the time	About the same	Bergen	Bergensar		1	4	2	1	4	3	2	1	3	4	4	4	3	4	4	4	4	3	4
159	04.02.2020 12:42	10772125573	216331141	03.06.2019 09:52	Complete	Complete	Lindås	Sample	Male	Alversund	Central	My whole life	A couple of times a month	A couple of times a month			Utanlandsk	Stril	Elite sports	General studies	Stril/Bergen	Stril/bergensk			Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mix	I mix both, I feel	Nynorsk	Very important	Not at all important	Very important	Not that important	Not that important	Very important	Very important	A bit every day	A lot every day	Little or never	Little or never	A lot every day	About the same	Bergen	Stril	Nei, ikkje i det heile tatt	5	5	4	3	5	3	4	5	3	4	4	5	5	5	5	3	4	5	4
160	04.02.2020 12:38	11321167280	234901686	04.02.2020 12:41	Complete	Complete	Lindås	Sample	Male	Alversund	Central	My whole life	A couple of times a month	About once a week			Stril	Bergensk/stril	General studies	General studies	Bergen and Stril	Bergensk og strilsk			Være	være	Mix, mainly solen	Vekslar, mest solen	Mix, mainly jenten	Vekslar, mest jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Not at all important	Very important	Somewhat important	Not at all important	Very important	Very important	A bit every day	A couple of times per week	Practially all the time	Little or never	Practially all the time	About the same	Lindås, like utanfor Bergen	Stril	Nei, ikkje i det heile tatt	4	5	2	2	5	2	2	4	4	2	4	4	5	2	5	3	3	3	4
161	04.02.2020 10:03	10772112728	216331141	03.06.2019 09:40	Complete	Complete	Lindås	Sample	Female	Knarvik	Central	My whole life	A couple of times a month	A couple of times a month			Bergensk	Bergensk og litt stril	No plans yet	No plans yet					Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mix	Have Nynorsk, but it's often a bit Bokmål Norewegian as well	Nynorsk	Somewhat important	Very important	Very important	Not at all important	Not at all important	Not that important	Not at all important	A lot every day	A bit every day	A couple of times per week	Little or never	Practially all the time		Bergen	Bergensar		3	5	4	3	5	5	3	1	3		4	4	3	4	5	3		5	3
162	04.02.2020 09:52	11321190024	234901686	04.02.2020 12:52	Complete	Complete	Lindås	General	Male			My whole life	A couple of times a month	A couple of times a month					General studies	General studies					Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mix	I have Nynorsk Norwegian as my main written language, but write a mix	Nynorsk	Very important	Not that important	Very important	Not that important	Not at all important	Somewhat important	Somewhat important	A bit every day	A lot every day	A bit every day	Little or never	A lot every day	No	Ein halvtime frå Bergen	Eg veit eigentleg ikkje	Nei, ikkje i det heile tatt	2	5	4	4	5	4	1	2	4	3	4	5	3		5	3			3
166	03.02.2020 11:37	11321052174	234901686	04.02.2020 11:44	Non-complete	Non-complete	Lindås						Less than once a month	About once a week					No plans yet	No plans yet					væra	væra	solæ	Solæ	jenta	Jenta	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Little or never	Little or never	Little or never	Little or never	Little or never	Yes	Lindås, like utanfor Bergen	Lindåsing	Nei, ikkje i det heile tatt				1	2			1							1	1	1	1	
169		11321173400	234901686	04.02.2020 12:44	Complete	Complete	Lindås	Sample	Male	Leknes	Peripheral	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Ta yrkesfag (TAF BYGG)	Vocational training and other	Stril	Stril	Stril	Stril	Vekslar, mest væra	Mix, mainly væra	solæ	Solæ	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Very important	Very important	Not that important	Not that important	Not that important	Not at all important	Little or never	A lot every day	A couple of times per week	Little or never	Practially all the time	Yes	Leknes, like utanfor Bergen	Stril	Nei, ikkje i det heile tatt	3	4	3	4	4	5	4	5	4	4	3	4	2		3			4	3
170		11321032870	234901686	04.02.2020 11:32	Complete	Complete	Lindås	Sample	Male	Leknes	Peripheral	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	væra	væra	solæ	Solæ	jento	Jento	Mix, mainly vi	Vekslar, mest vi	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Very important	Somewhat important	Not that important	Somewhat important	Not that important	Not that important	A couple of times per week	A bit every day	A couple of times per week	A couple of times per week	A bit every day	Yes	Lindås, like utanfor Bergen	Stril	Ikkje så veldig	4	4	4	2	5	5	2	5	2	5	2	3	4	4	4	2	3	5	3
171		11321034718	234901686	04.02.2020 11:34	Complete	Complete	Lindås	Sample	Female	Lygra/Seim	Peripheral	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	Bokmål	Stril	Vocational training	Vocational training and other	Bokmål Norwegian	Bokmål	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Nynorsk	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	Very important	Not that important	A couple of times per week	Practially all the time	A couple of times per week	Little or never	Practially all the time	About the same	Lindås, like utanfor Bergen	Lindåsing	Nei, ikkje i det heile tatt	5	5	4	1	5	5	2	5	2	5	1		2	5	4	2	4	5	2
172		11321032315	234901686	04.02.2020 11:33	Complete	Complete	Lindås	Sample	Female	Hjelmås	Peripheral	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	væra	væra	Mix, mainly solæ	Vekslar, mest solæ	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Very important	Very important	Not that important	Not that important	Very important	Not at all important	A couple of times per week	A bit every day	A couple of times per week	Little or never	Practially all the time	About the same	Lindås, like utanfor Bergen	Stril	Ikkje så veldig	5	5	4	2	5	5	2	5	2	4	1	4	4	4	3	2	2	4	2
173		10772107914	216331141	03.06.2019 09:35	Complete	Complete	Lindås	Sample	Female	Myksvoll/Seim	Peripheral	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Ta yrkesfag (TAF)	Vocational training and other	Stril	Stril	Stril	Stril	væra	væra	sola	Sola	jento	Jento	vi	Vi	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Very important	Very important	Somewhat important	Somewhat important	Very important	Not at all important	A bit every day	A bit every day	A bit every day	A bit every day	A lot every day	No	Bergen	Stril	Litt	2	5	2	1	5	5	1	5	1	4	4	4	1	5	5	1		1	1
174		11321032149	234901686	04.02.2020 11:32	Complete	Complete	Lindås	Sample	Male	Eikangervåg	Peripheral	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	væra	væra	solæ	Solæ	jento	Jento	Mix, mainly me	Vekslar, mest me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Very important	Very important	Not that important	Not that important	Somewhat important	Not at all important	A bit every day	A bit every day	Little or never	Little or never	A lot every day	Yes	Lindås, like utanfor Bergen	Stril	Ja, veldig	3	5	3	2	5	5	3	5	3	3	4	4	3	5	5	3	3	5	3
175		11321031983	234901686	04.02.2020 11:32	Complete	Complete	Lindås	Sample	Female	Seim	Peripheral	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	væra	væra	solæ	Solæ	jento	Jento	vi	Vi	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Very important	Very important	Not that important	Somewhat important	Very important	Not at all important	A couple of times per week	A bit every day	Little or never	Little or never	Practially all the time	Yes	Lindås, like utanfor Bergen	Stril	Ikkje så veldig	2	2	2	1	5	5	2	5	1	3	4	2	3		5	2	3	5	
176		10236213736	216729719	24.09.2018 22:19	Complete	Complete	Lindås	Sample	Male	Nappane/Feste	Peripheral	My whole life	Less than once a month	A couple of times a month	Hordaland except Bergen	Local or neighboring municipality	Litt stril og litt bymål	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	væra	væra	sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Not that important	Very important	Somewhat important	Somewhat important	Very important	Very important	A couple of times per week	A bit every day	A bit every day	Little or never	Practially all the time	Yes	Bergen	Stril	Ja, veldig	2	4	1	4	4	5	4	5	4	4	4	5	2		1	2	5	4	2
122	04.02.2020 08:50	10772108497	216331141	03.06.2019 09:36	Complete	Complete	Lindås	General	Female	Alver	Central	2-5 years ago	About once a week	About once a week	In another country	In another country			No plans yet	No plans yet			Stril	strill	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Veit ikkje	Somewhat important	Not that important	Somewhat important	Somewhat important	Not that important	Somewhat important	Somewhat important	A couple of times per week	A lot every day	A bit every day	Little or never	A lot every day	Yes	Bergen	Bergensar	(Bergensar)	2	2	2	2	5	5	2		4	1	5	3	1	2	4	4			5
136	04.02.2020 08:51	10217397271	216729719	14.09.2018 14:42	Complete	Complete	Lindås	General	Female	Knarvik	Central	5-10 years ago	A couple of times a month	Several times a week	Local or neighboring municipality	Local or neighboring municipality	stril	stril\sogn	Vocational training	Vocational training and other	Stril/Bergen	stril\bergenser	Stril	stril	Vekslar	Mix	Mix	Vekslar	Mix	Vekslar	Mix	Vekslar	I mix constantly	Vekslar heile tida	Mix	I mix constantly	Veit ikkje	Very important	Very important	Very important	Somewhat important	Not that important	Very important	Very important	Practially all the time	Practially all the time	Practially all the time	A couple of times per week	Practially all the time	About the same	Bergen	Bergensar	(Bergensar)	2	5	4	4	5		4	1	4	5	4	5	5	1	4	4	4	4	4
8	03.06.2019 09:55	11320757314		04.02.2020 09:51	Complete	Complete	Øygarden	General	Female	Nautnes	Peripheral	My whole life	Less than once a month																																									2	2	1		5	1	2	5	1	1	4	4	3	2	5	2	2	5	3
17	03.06.2019 09:51	11320742718		04.02.2020 09:40	Non-complete	Non-complete	Øygarden	General																																														4	2	2	3															
22	03.06.2019 09:50	11320742491		04.02.2020 09:40	Non-complete	Non-complete	Øygarden	General																																														4	5	4	1	4	1	1	4	2	3	3		4		3	5			
40	03.06.2019 09:35	11320737960		04.02.2020 09:37	Non-complete	Non-complete	Øygarden	General																																														4																		
45	03.06.2019 09:35	11319256135		03.02.2020 19:43	Non-complete	Non-complete	Øygarden	General																																														2	4	2	3	4	1													
46	03.06.2019 09:35	11317980310		03.02.2020 11:34	Non-complete	Non-complete	Øygarden	General																																														3	5	4	5	5	5	5	5	4	5	2								
47	03.06.2019 09:35	11317964101		03.02.2020 11:24	Non-complete	Non-complete	Øygarden	General																																														4	4	3	5	5	1	5	3	3	5	3	3	3	3	5	3	3		
51	03.06.2019 09:35	11317958325		03.02.2020 11:19	Non-complete	Non-complete	Øygarden	General																																														5	1	4	1	1	2	1	1	2	2	1	2	2	1	5				
69	14.09.2018 14:58	11320743896	234901686	04.02.2020 08:41	Complete	Complete	Øygarden	Sample	Female	Toftøy	Central	My whole life	Less than once a month	Less than once a month			Voss	Hasvik	General studies	General studies					Være	være	sola	Sola	jento	Jento	vi	Vi	det	Det	Mix	I mix (eg liker ikke å spise fisk)		Somewhat important	Very important	Very important	Somewhat important	Somewhat important	Not that important	Not at all important	A bit every day	A lot every day	A lot every day	Little or never	A lot every day	No	Øygarden	Øygarding	Ja, veldig	3	4	3	2	5	1	2	4	2	5	2	2	1	2	4	2		4	4
71	12.02.2020 18:12				Non-complete	Non-complete	Lindås	General																																														3	3	3	5	3	1													
77	04.02.2020 12:49				Non-complete	Complete	Lindås	General																																														2	4	2	5	1	5	5	5	2	2	4	5	1	2	2	2	1	1	4
92	04.02.2020 12:45				Non-complete	Complete	Lindås	General	Male	Knarvik	Central	My whole life	A couple of times a month	Less than once a month																																								3		2	3	4	1	3	3	2	2	4	3	2		4	2	4		2
121	04.02.2020 08:39				Non-complete	Non-complete	Lindås	General																																														5	2	2																
135	04.02.2020 08:41	11321022199		04.02.2020 12:27	Non-complete	Complete	Lindås	General	Male	Eikangervåg	Peripheral	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	væra	væra																												4	5	3	5	5	5	5	5	4	3	4	5	3	5	5	4	3	5	3
153	03.02.2020 14:18				Non-complete	Non-complete	Lindås	General																																														5																		
154	03.02.2020 10:28				Non-complete	Non-complete	Lindås	General																																															1																	
165	03.02.2020 19:44				Non-complete	Non-complete	Lindås																																																																	
168	03.02.2020 11:21				Non-complete	Non-complete	Lindås						A couple of times a month	A couple of times a month																																								3	5	4	5	5					1				1					
